,id,Change,Close,Date,DollarVolume
0,50000,-0.03374,659.25,2020-04-03,17476.4
686,50000,0.13111,745.61,2020-04-09,30476.0
1372,50000,0.01822,759.27,2020-04-17,31047.3
2058,50000,0.03007,782.15,2020-04-24,28675.4
2744,50000,0.01979,797.65,2020-05-01,34750.1
3430,50000,0.02196,815.11,2020-05-07,25594.8
4116,50000,-0.00772,808.8,2020-05-15,26948.1
4802,50000,0.04238,843.17,2020-05-22,31164.9
5488,50000,0.03816,875.33,2020-05-29,39813.5
6174,50000,0.03249,903.77,2020-06-05,32244.6
6860,50000,-0.04069,866.99,2020-06-12,31110.3
7546,50000,0.02694,890.39,2020-06-19,27876.9
8232,50000,-0.00806,883.14,2020-06-26,25685.0
8918,50000,0.01141,893.22,2020-07-03,24433.4
9604,50000,-0.01224,882.33,2020-07-10,38321.1
10291,50000,-0.00538,877.7,2020-07-17,35854.2
10978,50000,0.00681,883.76,2020-07-24,31715.5
11665,50000,0.00144,885.02,2020-07-31,22770.0
12353,50000,0.05414,932.92,2020-08-07,23898.1
13041,50000,0.01629,948.14,2020-08-14,25144.7
13729,50000,0.00927,956.96,2020-08-21,26049.0
14417,50000,0.00741,964.04,2020-08-28,23349.0
15105,50000,-0.01788,946.81,2020-09-04,23882.3
15794,50000,0.00774,954.09,2020-09-11,23289.0
16483,50000,0.02042,973.52,2020-09-18,28005.5
17172,50000,-0.01971,954.33,2020-09-25,29058.6
17862,50000,0.01094,964.79,2020-10-02,31573.8
18552,50000,0.02621,990.01,2020-10-09,33916.4
19244,50000,-0.01244,977.72,2020-10-16,31939.7
19936,50000,0.00282,980.45,2020-10-23,36374.9
20628,50000,-0.03247,948.6,2020-10-30,31418.0
21320,50000,0.0359,982.72,2020-11-06,27532.7
22012,50000,0.01718,999.62,2020-11-13,39991.5
22704,50000,0.03146,1031.0,2020-11-20,33859.9
23396,50000,0.0077,1039.0,2020-11-27,32680.7
24088,50000,0.02875,1068.9,2020-12-04,37641.1
24781,50000,-0.00725,1061.2,2020-12-11,34066.6
25475,50000,0.03143,1094.5,2020-12-18,33402.9
26169,50000,0.03054,1127.9,2020-12-24,28093.0
26863,50000,0.02583,1157.0,2020-12-31,27280.1
27557,50000,0.01955,1179.8,2021-01-08,38185.4
28251,50000,-0.00564,1173.1,2021-01-15,46078.6
28945,50000,0.0189,1195.3,2021-01-22,44650.0
29639,50000,-0.02901,1160.7,2021-01-29,48504.0
30333,50000,0.04392,1211.6,2021-02-05,40773.7
31027,50000,0.0068,1219.8,2021-02-12,40498.1
31721,50000,-0.00464,1214.2,2021-02-19,43239.2
32415,50000,-0.02557,1183.3,2021-02-26,50104.5
33109,50000,-0.01681,1163.3,2021-03-05,37541.7
33803,50000,0.02425,1191.5,2021-03-12,34885.1
34497,50000,0.00536,1197.7,2021-03-19,42870.2
35191,50000,-0.0044,1192.5,2021-03-26,36511.0
35885,50000,0.01415,1209.4,2021-04-01,40986.7
1,51100,-0.04062,6591.5,2020-04-03,2013.0
687,51100,0.10914,7310.0,2020-04-09,2637.1
1373,51100,0.00223,7326.2,2020-04-17,2510.2
2059,51100,0.03093,7553.1,2020-04-24,3668.9
2745,51100,0.00626,7600.2,2020-05-01,2840.6
3431,51100,0.02682,7804.5,2020-05-07,2337.1
4117,51100,-0.01625,7677.6,2020-05-15,2175.7
4803,51100,0.03386,7937.3,2020-05-22,2511.6
5489,51100,0.01466,8053.8,2020-05-29,3667.4
6175,51100,0.05381,8487.0,2020-06-05,2968.1
6861,51100,-0.06654,7921.7,2020-06-12,2662.3
7547,51100,0.02172,8093.9,2020-06-19,2956.4
8233,51100,-0.00301,8069.1,2020-06-26,2114.8
8919,51100,-0.00418,8035.2,2020-07-03,2355.1
9605,51100,-0.00156,8023.4,2020-07-10,1605.2
10292,51100,-0.01308,7918.6,2020-07-17,2046.4
10979,51100,0.01144,8009.8,2020-07-24,1870.9
11666,51100,0.01701,8145.4,2020-07-31,1641.4
12354,51100,0.05742,8613.3,2020-08-07,2176.4
13042,51100,0.01038,8703.0,2020-08-14,2373.0
13730,51100,0.00979,8787.2,2020-08-21,1572.1
14418,51100,0.03783,9119.7,2020-08-28,2267.2
15106,51100,-0.03778,8774.8,2020-09-04,2171.1
15795,51100,-0.00267,8752.3,2020-09-11,1896.8
16484,51100,0.00228,8772.5,2020-09-18,2288.8
17173,51100,-0.0271,8534.8,2020-09-25,2937.8
17863,51100,0.00058,8540.4,2020-10-02,2665.5
18553,51100,0.02461,8751.5,2020-10-09,2656.2
19245,51100,0.0045,8790.8,2020-10-16,2643.2
19937,51100,0.01346,8909.3,2020-10-23,2975.9
20629,51100,-0.01093,8811.6,2020-10-30,2947.9
21321,51100,0.01902,8979.9,2020-11-06,2820.9
22013,51100,0.00585,9031.6,2020-11-13,4469.2
22705,51100,0.02149,9225.3,2020-11-20,4505.5
23397,51100,-0.00174,9209.5,2020-11-27,3579.0
24089,51100,0.04249,9600.5,2020-12-04,4197.3
24782,51100,0.02325,9823.5,2020-12-11,3562.4
25476,51100,0.02095,10028.0,2020-12-18,4237.6
26170,51100,0.0129,10158.0,2020-12-24,4170.9
26864,51100,0.02822,10444.0,2020-12-31,2179.3
27558,51100,0.00639,10512.0,2021-01-08,3485.5
28252,51100,-0.02969,10201.0,2021-01-15,5172.3
28946,51100,0.03333,10542.0,2021-01-22,7051.4
29640,51100,-0.01484,10386.0,2021-01-29,4565.0
30334,51100,0.03709,10772.0,2021-02-05,4177.2
31028,51100,0.0033,10808.0,2021-02-12,4752.1
31722,51100,-0.01554,10640.0,2021-02-19,5339.8
32416,51100,-0.0258,10366.0,2021-02-26,4615.9
