,id,Change,Close,Date,DollarVolume
0,10000,-0.04792,2958.4,2020-04-03,570294.2
390,10000,0.09291,3233.2,2020-04-09,609714.1
780,10000,-0.01321,3190.2,2020-04-17,598569.2
1170,10000,-0.00674,3168.9,2020-04-24,502985.2
1560,10000,0.00636,3189.4,2020-05-01,525789.0
1950,10000,0.0254,3270.6,2020-05-07,518032.4
2340,10000,-0.02518,3188.5,2020-05-15,484321.6
2730,10000,0.0355,3301.9,2020-05-22,536998.4
3120,10000,0.01867,3363.7,2020-05-29,761721.5
3510,10000,0.06711,3589.8,2020-06-05,543717.2
3900,10000,-0.05853,3379.8,2020-06-12,621190.3
4290,10000,0.03163,3486.8,2020-06-19,601021.6
4680,10000,-0.02308,3406.4,2020-06-26,477748.0
5070,10000,0.00178,3412.3,2020-07-03,421954.1
5460,10000,-0.00963,3379.6,2020-07-10,395420.5
5850,10000,0.02761,3472.7,2020-07-17,389418.3
6240,10000,-0.02238,3394.9,2020-07-24,401471.5
6630,10000,-0.03326,3282.0,2020-07-31,409150.0
7020,10000,0.02556,3366.1,2020-08-07,413971.1
7410,10000,0.00945,3397.9,2020-08-14,379960.0
7800,10000,-0.01347,3352.2,2020-08-21,332941.7
8190,10000,-0.00299,3342.4,2020-08-28,334609.7
8580,10000,-0.02638,3254.1,2020-09-04,404583.6
8970,10000,0.03437,3365.9,2020-09-11,339338.2
9360,10000,-0.00291,3356.0,2020-09-18,507243.9
9750,10000,-0.02797,3262.0,2020-09-25,429669.4
10140,10000,0.01202,3301.3,2020-10-02,410862.6
10530,10000,0.02329,3378.4,2020-10-09,439449.8
10920,10000,-0.0156,3325.7,2020-10-16,402665.9
11310,10000,-0.00462,3310.4,2020-10-23,343217.1
11700,10000,-0.04804,3151.3,2020-10-30,454785.0
12090,10000,0.05575,3326.6,2020-11-06,445100.9
12480,10000,0.07021,3560.3,2020-11-13,688353.6
12870,10000,0.00742,3586.5,2020-11-20,608993.0
13260,10000,0.00206,3593.7,2020-11-27,758223.7
13650,10000,0.03025,3702.3,2020-12-04,658497.9
14040,10000,-0.00592,3680.4,2020-12-11,545619.8
